order_id,customer_id,order_date,product_name,quantity,unit_price,total_price
20001,11052,2023-09-03,Programmable real-time extranet,2,62.28,124.56
20002,11093,2025-02-16,Devolved client-driven structure,8,18.07,144.56
20003,11015,2024-01-19,Team-oriented contextually-based website,8,74.59,596.72
20004,11072,2023-12-31,Programmable secondary hierarchy,1,45.99,45.99
20005,11061,2024-08-25,Decentralized local standardization,3,97.91,293.73
20006,11021,2024-12-25,Right-sized empowering moratorium,9,84.09,756.8100000000001
20007,11083,2024-12-28,Progressive intangible data-warehouse,5,57.02,285.1
20008,11087,2024-07-04,Centralized context-sensitive task-force,6,21.09,126.53999999999999
20009,11075,2024-08-20,Enterprise-wide bi-directional monitoring,4,87.35,349.4
20010,11075,2023-08-26,Advanced neutral collaboration,2,81.98,163.96
20011,11088,2024-05-22,Multi-channeled content-based Graphic Interface,8,26.61,212.88
20012,11100,2024-01-14,Progressive next generation infrastructure,6,36.58,219.48
20013,11024,2025-04-08,Switchable fault-tolerant Local Area Network,5,81.41,407.04999999999995
20014,11003,2024-07-12,De-engineered holistic algorithm,9,26.67,240.03000000000003
20015,11022,2024-03-03,Distributed local info-mediaries,1,92.6,92.6
20016,11053,2023-08-31,Proactive composite access,5,48.21,241.05
20017,11002,2023-09-03,Re-engineered stable access,6,17.83,106.97999999999999
20018,11088,2023-11-08,Pre-emptive local challenge,5,83.42,417.1
20019,11030,2024-03-22,Persistent interactive policy,6,43.62,261.71999999999997
20020,11038,2023-06-16,Enhanced zero administration functionalities,6,57.38,344.28000000000003
20021,11002,2023-09-01,De-engineered logistical info-mediaries,7,20.11,140.76999999999998
20022,11064,2023-09-04,Extended next generation methodology,4,10.23,40.92
20023,11060,2024-03-12,Open-architected secondary leverage,8,67.42,539.36
20024,11021,2024-02-28,Progressive 3rdgeneration matrix,7,56.37,394.59
20025,11033,2025-03-05,Vision-oriented stable Graphical User Interface,9,63.42,570.78
20026,11076,2024-10-05,Visionary bi-directional concept,7,81.44,570.0799999999999
20027,11058,2023-10-28,Innovative bifurcated monitoring,3,68.19,204.57
20028,11022,2024-09-22,Robust scalable forecast,3,25.73,77.19
20029,11089,2023-12-16,Mandatory client-server challenge,8,42.47,339.76
20030,11049,2024-06-28,User-friendly optimizing frame,5,91.53,457.65
20031,11091,2025-01-29,Extended foreground ability,4,79.3,317.2
20032,11059,2023-12-19,Balanced interactive open system,8,60.1,480.8
